Name,total_return
UAA,-0.35631067961165064
VNO,-0.3563504208110171
PCG,-0.35940288820379773
KIM,-0.4135702746365104
SCG,-0.4724420779968337
GE,-0.4858395144976392
EVHC,-0.4944831591173059
BHGE,-0.5005201109570043
CHK,-0.5470219435736677
RRC,-0.6130934827484522
